name,slug,url,sku,price,categories,manufacturer,composition,cas_number,function,dosage_form,synonym,quality,einecs
LIPOID PG 16:0/16:0 (DPPG-Na),lipoid-pg-160-160-dppg-na,https://www.pharmaexcipients.com/product/lipoid-pg-160-160-dppg-na/,PE1395-1-1-3-1,0,,Lipoid,Pure DPPG-Na,67232-81-9,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
Polyglykol 3350 S,polyglykol-3350-s,https://www.pharmaexcipients.com/product/polyglykol-3350-s/,PE1822,0,,Clariant,PEG; PEG-75; Polyethylene Glycol,25322-68-3,APIs for laxative and ophthalmic formulations; serving as excipients,"solid flake form; tablet binders, humectants, plasticizers, solvents",,,
LIPOID PE 16:0/16:0 – PEG 5000 (MPEG-5000-DPPE),lipoid-pe-16-16-peg-5000,https://www.pharmaexcipients.com/product/lipoid-pe-16-16-peg-5000/,PE1395-1-1-7,0,,Lipoid,Pure MPEG-5000-DPPE,384835-61-4,"Component of Colloidal Structures, Surfactant","Infusions, Injections, Surface Coatings",,,
LIPOID PE 18:0/18:0 – PEG 2000 (MPEG-2000-DSPE),lipoid-pe-18-18-peg-2000,https://www.pharmaexcipients.com/product/lipoid-pe-18-18-peg-2000/,PE1395-1-1-6,0,,Lipoid,Pure MPEG-2000-DSPE,247925-28-4,"Component of Colloidal Structures, Surfactant","Infusions, Injections, Surface Coatings",,,
LIPOID PE 18:1/18:1 (DOPE),lipoid-pe-181-181-dope,https://www.pharmaexcipients.com/product/lipoid-pe-181-181-dope/,PE1395-1-1-5,0,,Lipoid,Pure DOPE,4004-05-1,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
LIPOID PG 14:0/14:0 (DMPG-Na),lipoid-pg-14-14-dmpg-na,https://www.pharmaexcipients.com/product/lipoid-pg-14-14-dmpg-na/,PE1395-1-1-4,0,,Lipoid,Pure DMPG-Na,67232-80-8,"Component of Colloidal Structures, Emulsifier","Infusions, Injections, Depot Formulations",,,
LIPOID PG 18:0/18:0 (DSPG-Na),lipoid-pg-18-18-dspg-na,https://www.pharmaexcipients.com/product/lipoid-pg-18-18-dspg-na/,PE1395-1-1-3,0,,Lipoid,Pure DSPG-Na,200880-42-8,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
LIPOID PC 18:1/18:1 (DOPC),lipoid-pc-181-181-dopc,https://www.pharmaexcipients.com/product/lipoid-pc-181-181-dopc/,PE1395-1-1-2,0,,Lipoid,Pure DOPC,4235-95-4,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
LIPOID PC 18:0/18:0 (DSPC),lipoid-pc-18-18-dspc,https://www.pharmaexcipients.com/product/lipoid-pc-18-18-dspc/,PE1395-1-1-1,0,,Lipoid,Pure DSPC,816-94-4,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations, Inhalable Formulations",,USP-NF,
LIPOID PC 14:0/14:0 (DMPC),lipoid-pc-14-14,https://www.pharmaexcipients.com/product/lipoid-pc-14-14/,PE1395-1-1,0,,Lipoid,Pure DMPC,18194-24-6,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
LIPOID P LPC 80,lipoid-p-lpc-80,https://www.pharmaexcipients.com/product/lipoid-p-lpc-80/,PE1395-1-2,0,,Lipoid,"Soy LPC, Soy PC",9008-30-4,"Stabilizer, Solubility and Oral Bioavailability Enhancer","Tablets, Capsules, Creams, Sprays, Foams, Gels",,,
